Section,Category,Metric,Formula,Value/Rate,Notes,Source
Benchmark Data,SEO,Local Pack CTR Position 1,Static Rate,%33,Click-through rate for #1 Local Pack position,Industry Benchmark
Benchmark Data,SEO,Local Pack CTR Position 2,Static Rate,%22,Click-through rate for #2 Local Pack position,Industry Benchmark
Benchmark Data,SEO,Local Pack CTR Position 3,Static Rate,%13,Click-through rate for #3 Local Pack position,Industry Benchmark
Benchmark Data,SEO,Organic CTR Position 1,Static Rate,%18,Click-through rate for #1 Organic position,Industry Benchmark
Benchmark Data,SEO,Organic CTR Position 2,Static Rate,%7,Click-through rate for #2 Organic position,Industry Benchmark
Benchmark Data,SEO,Organic CTR Position 3,Static Rate,%3,Click-through rate for #3 Organic position,Industry Benchmark
Benchmark Data,SEO,Organic CTR Position 4,Static Rate,%2,Click-through rate for #4 Organic position,Industry Benchmark
Benchmark Data,SEO,Organic CTR Position 5,Static Rate,%1.5,Click-through rate for #5 Organic position,Industry Benchmark
Benchmark Data,SEO,Conversion Rate,Static Rate,%5,Website visitor to customer conversion rate,Industry Benchmark
Benchmark Data,SEO,Search Volume Attribution,70% Local Pack / 30% Organic,%70/%30,Traffic split between Local Pack and Organic,Industry Benchmark
Benchmark Data,SMS,Open Rate,Static Rate,%98,SMS message open rate,Industry Benchmark
Benchmark Data,SMS,Click Rate,Static Rate,%19.5,SMS link click rate,Industry Benchmark
Benchmark Data,SMS,Redemption Multiplier,Multiplier,10x,Revenue multiplier for SMS campaigns,Industry Benchmark
Benchmark Data,SMS,Unsubscribe Rate,Static Rate,%3,SMS unsubscribe rate,Industry Benchmark
Benchmark Data,Email,Open Rate,Static Rate,%28.4,Email open rate for restaurants,Industry Benchmark
Benchmark Data,Email,Click Rate,Static Rate,%4.2,Email click rate,Industry Benchmark
Benchmark Data,Email,Conversion Rate,Static Rate,%2.8,Email to purchase conversion rate,Industry Benchmark
Benchmark Data,Email,Automation Open Rate,Static Rate,%51.36,Automated email open rate,Industry Benchmark
Benchmark Data,Social Media,Instagram Engagement Rate,Static Rate,%3.1,Instagram engagement rate for restaurants,Industry Benchmark
Benchmark Data,Social Media,Facebook Engagement Rate,Static Rate,%1.3,Facebook engagement rate for restaurants,Industry Benchmark
Benchmark Data,Social Media,Follower Conversion Rate,Static Rate,%89,Percentage of followers who eventually purchase,Industry Benchmark
Revenue Calculations,SEO,Current Clicks Per Keyword,"(Search Volume × Current CTR) ÷ 100",Dynamic,Monthly clicks from search for each keyword,Calculated
Revenue Calculations,SEO,Current Conversions Per Keyword,"Current Clicks × Conversion Rate ÷ 100",Dynamic,Monthly conversions from each keyword,Calculated
Revenue Calculations,SEO,Current Revenue Per Keyword,"Current Conversions × Average Ticket",Dynamic,Monthly revenue from each keyword,Calculated
Revenue Calculations,SEO,Total Current SEO Revenue,"SUM(All Keywords Current Revenue)",Dynamic,Total monthly revenue from SEO,Calculated
Revenue Calculations,SEO,Potential Clicks Per Keyword,"(Search Volume × Target CTR) ÷ 100",Dynamic,Potential monthly clicks if ranking improved,Calculated
Revenue Calculations,SEO,Potential Conversions Per Keyword,"Potential Clicks × Conversion Rate ÷ 100",Dynamic,Potential monthly conversions if ranking improved,Calculated
Revenue Calculations,SEO,Potential Revenue Per Keyword,"Potential Conversions × Average Ticket",Dynamic,Potential monthly revenue from each keyword,Calculated
